Date,Price,Open,High,Low,Vol.,Change %
23-07-2014,748.85,752,754.95,742,1.43M,-0.23%
24-07-2014,748.2,746.4,753.05,741.25,888.94K,-0.09%
25-07-2014,782.2,750.05,785,750.05,2.02M,4.54%
28-07-2014,789.15,783,792.25,774.45,1.37M,0.89%
30-07-2014,790.45,785,800,780.45,2.40M,0.16%
31-07-2014,790.95,783.5,794.45,782,3.35M,0.06%
01-08-2014,768.8,782.1,789.75,765.1,2.20M,-2.80%
04-08-2014,761.7,770,776.05,759,1.32M,-0.92%
05-08-2014,773.8,766.35,779.9,762.5,1.19M,1.59%
06-08-2014,759.8,770.5,773,758.1,1.29M,-1.81%
07-08-2014,758.85,755.3,764,748.2,1.49M,-0.13%
08-08-2014,760.4,744.15,767.3,743.3,1.24M,0.20%
11-08-2014,764.5,764,770,758.55,819.73K,0.54%
12-08-2014,785.25,769.45,787,766,1.92M,2.71%
13-08-2014,802.6,777.5,805,777.5,3.49M,2.21%
14-08-2014,814.85,805,816.6,805,1.78M,1.53%
18-08-2014,816.2,811,823.45,807.4,1.08M,0.17%
19-08-2014,809.75,813.5,817.9,803,1.36M,-0.79%
20-08-2014,846.95,805,849.8,805,2.51M,4.59%
21-08-2014,860,845,867.4,839,2.02M,1.54%
22-08-2014,856.65,853.05,864,844.65,2.09M,-0.39%
25-08-2014,853.55,860.25,870.4,850.65,1.29M,-0.36%
26-08-2014,864.95,849.2,875.45,849.2,1.77M,1.34%
27-08-2014,862.4,865.15,873.3,855,1.72M,-0.29%
28-08-2014,855.25,861,866.4,849.85,2.42M,-0.83%
01-09-2014,842.35,861,861.05,839,1.92M,-1.51%
02-09-2014,863.55,842,867.5,842,1.95M,2.52%
03-09-2014,863.3,866.4,878.4,857.05,2.01M,-0.03%
04-09-2014,864.5,864.65,873.5,859.05,1.10M,0.14%
05-09-2014,857.85,869,869.9,852.65,1.18M,-0.77%
08-09-2014,868,858.1,872.3,858.1,1.50M,1.18%
09-09-2014,860.4,871.9,871.9,858.25,905.96K,-0.88%
10-09-2014,859.3,860,867.9,855.5,790.09K,-0.13%
11-09-2014,822.3,850,850.7,808,4.48M,-4.31%
12-09-2014,806.1,815,819.7,788.1,7.55M,-1.97%
15-09-2014,795.3,804,814.75,792.5,3.13M,-1.34%
16-09-2014,798.25,796,810.75,794.3,2.74M,0.37%
17-09-2014,792.4,804.9,811.8,786.8,2.74M,-0.73%
18-09-2014,805.05,808,813.7,800.15,2.99M,1.60%
19-09-2014,807.15,807.9,824.75,806.3,4.58M,0.26%
22-09-2014,798.35,800,811.4,788.15,2.57M,-1.09%
23-09-2014,780.6,805,807.35,775,3.58M,-2.22%
24-09-2014,780.65,774.1,796,774.1,2.20M,0.01%
25-09-2014,774.25,780.15,789.8,769.05,3.04M,-0.82%
26-09-2014,806.6,768.4,821.45,748,10.01M,4.18%
29-09-2014,835.8,808,839.8,808,3.87M,3.62%
30-09-2014,857.25,836.45,860.95,833,4.05M,2.57%
01-10-2014,860.8,860,865.4,849.45,2.62M,0.41%
07-10-2014,835.95,857.15,868.8,831.4,2.39M,-2.89%
08-10-2014,800.8,827.95,832,794.25,2.86M,-4.20%
